# i, x, y, real(u), imag(u)
474 11.0763 -7.62766 -0.422063 -0.766833
475 11.0612 -7.65544 -0.582812 -0.600499
476 11.0548 -7.68639 -0.740381 -0.454463
477 11.0569 -7.71966 -0.891337 -0.332788
478 11.0672 -7.75432 -1.03186 -0.236792
479 11.0845 -7.78939 -1.15792 -0.165362
480 11.1073 -7.82397 -1.26581 -0.115492
481 11.1339 -7.85732 -1.35296 -0.0829707
482 11.1622 -7.88889 -1.41858 -0.0631755
483 11.1901 -7.91838 -1.46397 -0.0518434
484 11.2154 -7.94576 -1.49223 -0.045618
485 11.2365 -7.97127 -1.50758 -0.0422204
486 11.2517 -7.99537 -1.51444 -0.0402853
487 11.2601 -8.01867 -1.51645 -0.0390483
488 11.261 -8.0419 -1.51554 -0.0380542
489 11.2546 -8.0658 -1.51138 -0.0369683
490 11.2414 -8.09106 -1.50143 -0.0355564
491 11.2225 -8.11821 -1.4814 -0.033864
492 11.1995 -8.14758 -1.44627 -0.0325683
493 11.1741 -8.17925 -1.39152 -0.0333995
494 11.1485 -8.21302 -1.31422 -0.0393797
495 11.1247 -8.24843 -1.21404 -0.0546199
496 11.1047 -8.28477 -1.09349 -0.0836478
497 11.0904 -8.32114 -0.957555 -0.130518
498 11.083 -8.35651 -0.812568 -0.198034
499 11.0836 -8.38985 -0.664903 -0.287242
500 11.0926 -8.42017 -0.519857 -0.397166
501 11.1099 -8.44663 -0.381112 -0.524706
502 11.1349 -8.46863 -0.250906 -0.664615
503 11.1667 -8.48589 -0.130674 -0.809706
504 11.2037 -8.49846 -0.0217248 -0.951559
505 11.2443 -8.50675 0.0743523 -1.08172
506 11.2867 -8.51152 0.155804 -1.19313
507 11.329 -8.51384 0.221307 -1.28149
508 11.3696 -8.51499 0.270691 -1.34585
509 11.4069 -8.51641 0.305334 -1.38851
510 11.4398 -8.51956 0.327997 -1.414
511 11.4676 -8.52583 0.342188 -1.42776
512 11.49 -8.5364 0.35143 -1.4347
513 11.5071 -8.55216 0.358775 -1.43814
514 11.5195 -8.5736 0.366682 -1.43926
515 11.528 -8.6008 0.377161 -1.43722
516 11.5338 -8.63335 0.391954 -1.42965
517 11.5383 -8.67042 0.412537 -1.41345
518 11.5427 -8.71074 0.439948 -1.3856
519 11.5485 -8.75274 0.474665 -1.34386
520 11.5567 -8.7946 0.516746 -1.28724
521 11.5683 -8.8344 0.566198 -1.21621
522 11.5839 -8.87028 0.623334 -1.13248
523 11.6037 -8.90051 0.688788 -1.03848
524 11.6277 -8.92368 0.763117 -0.936849
525 11.6554 -8.93876 0.846145 -0.829968
526 11.6864 -8.94523 0.936367 -0.719978
527 11.7197 -8.94308 1.03067 -0.609052
528 11.7543 -8.93284 1.12454 -0.499815
529 11.7894 -8.91554 1.21277 -0.395533
530 11.824 -8.89268 1.29049 -0.299932
531 11.8573 -8.86608 1.35408 -0.216604
532 11.8889 -8.83779 1.40192 -0.148168
533 11.9184 -8.80993 1.43446 -0.0955587
534 11.9458 -8.78455 1.45391 -0.0577818
535 11.9713 -8.7635 1.46353 -0.0322465
536 11.9954 -8.74828 1.46677 -0.0154856
537 12.0187 -8.73992 1.46636 -0.00384833
538 12.0419 -8.73897 1.46348 0.00615016
539 12.0658 -8.74539 1.45718 0.0178582
540 12.0911 -8.7586 1.44435 0.0346892
541 12.1182 -8.77749 1.42026 0.0601532
542 12.1476 -8.80054 1.37958 0.097458
543 12.1792 -8.8259 1.31773 0.148745
